,title,artist,lyrics
10,노르웨이숲,새라,나는 좀 느린 게 좋아살랑살랑 사뿐사뿐내 꼬리도 발걸음 따라 흔들난 느린 게 좋아 천천히나를 바라볼 때그대의 눈빛이 반짝 반짝그 속이 궁금해 난 자꾸 바라보게 돼내가 좀 무신경해 보인다고생각하지 무슨 말을 해도그저 헤헤헤헤눈치도 없고 오 둔해 빠져서그렇게 대해도 되는 줄 아나보지내가 좀 둔해 보인다고생각할지도 몰라하지만 맛있는 냄샐 맡으면난 가뿐히 너의 식탁 위로뛰어오를 수도 있어 야옹나를 바라볼 때그대의 눈빛이 반짝 반짝그 속이 궁금해 난 자꾸 바라보게 돼내가 좀 무신경해보인다고 생각하지무슨 말을 해도 그저 헤헤헤헤눈치도 없고 오 둔해 빠져서그렇게 대해도 되는 줄 아나보지내가 좀 둔해 보인다고생각할지도 몰라하지만 맛있는 냄샐 맡으면난 가뿐히 너의 식탁 위로뛰어오를 수도 있어 야옹내가 좀 무신경해보인다고 생각하지무슨 말을 해도 그저 헤헤헤헤눈치도 없고 오 둔해 빠져서막 대해도 되는 줄 아나보지내가 좀 둔해 보인다고생각할지도 몰라하지만 맛있는 냄샐 맡으면난 가뿐히 너의 식탁 위로뛰어오를 수도 있어 야옹나는 좀 느린 게 좋아오 난 느린 게 좋아오 느린 게 좋아
11,커피를 닮은 당신,오리너구리,따스한 햇살이 카페가득 퍼지고향긋한 커피향 꽃내음과 어울려오가는 사람들 창밖으로 스치고일상속 이야기 도란도란 다정해오늘하루 어떤 사람어떤 이야기로 찾아올까어떤 인생의 어떤 노래아름답게 들려나줄까피곤함에 지친이도긴 하루에 힘든이게도커피향과 풀꽃향에작은 위안 받을까따스한 햇살이 카페가득 퍼지고향긋한 커피향 꽃내음과 어울려오늘하루 어떤 사람어떤 이야기로 찾아올까어떤 인생의 어떤 노래아름답게 들려나줄까피곤함에 지친이도긴 하루에 힘든이게도커피향과 풀꽃향에작은 위안 받을까따스한 햇살이 카페가득 퍼지고향긋한 커피향 당신과 참 어울려향긋한 커피향 당신과 잘 어울려그대는 커피를 참 많이도 닮았죠참 많이도 닮았죠참 많이도 닮았죠
12,목에 걸린 것 (Something In Me),장유정,목에 걸린 것 빼낼 수 없는 것말할 수 없어 가슴이 아픈 것목에 걸린 것 삼킬 수 없는 것바라만 봐도 눈물이 나는 것그댈 처음 본 순간 나는 알았지그대 나의 사랑이 될 줄을오랜 세월이 흘러 그댄 없지만나는 여전히 그대를 그리네목에 걸린 것 사랑이라 부르는 것빼낼 수 없고 삼킬 수도 없어목에 걸린 것 나만이 아는 것아무도 몰래 간직한 내 사랑
13,오늘의 너에게 (with 희대),제디 (jeddy),그 어느 때보다 떨려요마치 그댈 처음 만날 때처럼내 모든 세상이너 하나로 물들었던 날흐르던 시간이 멈추고세상엔 우리 둘만 남고그저 바라보기만 했죠늘 네 곁에 있어줄게언제나 너의 손을 잡아줄 수 있게초라한 나의 마음가득하게 채워준 너소중한 내 사람흐르던 시간이 멈추고세상엔 우리 둘만 남고비어있던 내 삶에 이토록 따뜻하게햇살처럼 눈부신 그대가늘 네 곁에 있어줄게언제나 너의 손을 잡아줄 수 있게초라한 나의 마음가득하게 채워준 너내 모든 것이 돼준 너수많은 날 수많은 밤이우리의 많은 것을 바꿔놓아도여기 그대로 있을게 나내 마음 변함없이 너만을늘 오늘을 기억할게수많은 축복 속에 가장 빛나는 널세상 가장 아름다운 오늘의 너에게이 마음을 전할게사랑해
14,Spring,예은,봄이 오면 새싹도 활짝 피고반가운 꽃들도 피어나아이들 웃음소리 들려오네널 닮은 햇살이 내 눈 적시네봄이오면 가볍게 입고서널 두시에 만나벛꽃거릴 다니며너의 사진 찍어주고 싶어너와 매일 따뜻하게이쁜 너의 손 잡을꺼야너와 함께 있단게 좋아나의 머릿속에 기억해둘께나의 맘이 네게 들리도록바로 지금 이 순간 너를봄이 오면 새싹도 활짝 피고반가운 꽃들도 피어나아이들 웃음소리 들려오네널 닮은 햇살이 내 눈 적시네봄이오면 가볍게 입고서널 두시에 만나벛꽃거릴 다니며너의 사진 찍어주고 싶어너와 매일 따뜻하게이쁜 너의 손 잡을꺼야나의 맘이 들리도록매일 네에게 노래 할께이 시간부터 너와 나의 봄을시작해 봤으면해머릿속에 항상 담아둘께바로 지금 이 순간 너를
15,나의 바다,안지윤,내가 있는 바다는너무 깊고 어두워발이 땅에 닿지 않아보이지 않아서 두려워지나가던 바람은나를 비웃기라도 하듯내민 손이 가여울 만큼더 강하게 몰아쳐 불어와To breathe free가라앉지 않으려 발버둥을 쳐언젠가 닿게 될 그 끝을 위해간절히 기도해To breathe free가라앉지 않으려 발버둥을 쳐언젠가 오게 될 그날을 위해간절히 기도해Flow deep into the sea잔잔히 흐르던 바다에나를 덮치는 거센 파도가Flow deep into the sea아무도 모르게 아무것도모른 채 흘러가끊임없이 흘러가겠지파도가 나를 이끄는 곳으로숨 쉴 곳을 찾아 그렇게Flow deep into the sea잔잔히 흐르던 바다에나를 덮치는 거센 파도가Flow deep into the sea아무도 모르게 아무것도모른 채 흘러가
16,출근하고 있는데 퇴근하고 싶어 (Vocal 호감),오친동,출근하고 있는데집에 가고 싶어따뜻한 이불속에누워서 귤까먹고 싶어아참 아직 카드값이 남았네오늘도 열심히 일 해야지화장실은 출근후회사에서 가야지시간 때우고 돈벌고휴지값도 아끼지아아 이칸 화장지가 없구나똑똑똑 거기 화장지좀 주세요작업복 대충 걸쳐입고 나도 오출근하고 있어요 퇴근하고 싶어요작업복 그래 그거 입고 나도 오출근하고 있어요 집에가고 싶어요집에가고 싶은데아직도 점심시간 이구나오늘 점심엔 뭐먹지해장에는 역시 국밥이지사장님 여기 얼큰하게 하나요오늘은 진짜로 술은 안먹을꺼야집에가고 싶은데손님이 가게에서 안나가청소다해 놨는데커피를 쏟아 버렸네손님 혹시 안 다치셨나요괜찮아요 청소는 제가 하는 거죠작업복 대충 걸쳐입고 나도 오출근하고 있어요 퇴근하고 싶어요작업복 그래 그거 입고 나도 오출근하고 있어요 집에가고 싶어요집에 가고 싶어요집에 갈수 있나요집에 보내 주세요집에 있는 루피가 보고싶어요그래요 나도 출근하고 있죠더럽게 집에가고 싶어할일이 없어도 아무일 없어도집에 가고싶죠
17,그곳에서,갈프로젝트,그리웠어 언제나 가까이 있어도 늘닿을 듯 닿지 않고 잡히질 않아서보고팠어 너처럼 옆에 있는데도 늘만날 듯 만나질 않고그리운 꿈만 같아서오늘도 하루를 살아가 니 행복을 위해오늘도 하루를 살아가 널 만나기 위해이렇게 좋은데 그 설레임 그 떨림너의 웃음 소리만이 내가 좋아너무 보고싶어그리워 너무 그리워 함께했던 시간보다행복하게 해 줄게 슬퍼도웃게 해 줄게 널 위해오늘도 하루를 살아가 니 행복을 위해오늘도 하루를 살아가 널 만나기 위해이렇게 좋은데 그 설레임 그 떨림너의 웃음 소리만이 내가 좋아너무 보고싶어그리워 너무 그리워 함께했던 시간보다행복하게 해 줄게 슬퍼도 웃게 해 줄게우리 이젠 시작해 나 좀 바라볼래요이젠 보여 줄게 보여주고 싶어나 너만을 생각해 준비해온 그날들돌아보지 않아 평생 웃게할게이렇게 좋은데 이렇게 좋은데니 앞에 있는 떨림너의 웃음소리만이 내가 좋아너무 보고싶어그리워 너무 그리워 함께했던 시간보다나 너만을 위한 개그를 할게 이 곳에서
18,너도 가끔 내가,김수미,잠 못 들어 어지러운 마음이마음을 가득 채워 복잡한 이 밤침대맡에 함께 누워 네 목소리집중했던 그 순간이 생각나어두운 밤에 혼자 있을 때면널 사랑한 빛났던 내가 너무 그리워생각에 생각이 꼬리를 물고 결국 또다시 너의 기억에멈춘 나는 지금 뭘까그저 행복했던 나는 지금 우리가이렇게 될 줄 우린 알았을까너도 내가 이 밤에생각이 났음 좋겠어어두운 밤에 혼자 있을 때면널 사랑한 빛났던 내가 너무 그리워생각에 생각이 꼬리를 물고 결국 또다시 너의 기억에멈춘 나는 지금 뭘까그저 행복했던 나는 지금 우리가이렇게 될 줄 우린 알았을까내 온 세상이었었던나의 빛이었었던 너는누굴 비추고 있을까다른 빛이 되어 행복했으면 해이제는 잊고 살아갈게생각에 생각이 내 머릴 감싸 결국 또아직도 너의 기억이계속 나는 이윤 뭘까너도 내가 가끔 생각 났음 좋겠어이렇게 될 줄 우린 알았을까너도 내가 이 밤에 생각이 났음 좋겠어
19,겁쟁이 (Vocal by 수재),김진한,어딘가를 보고 있는 네 뒷모습에닿으려 해도 닿을 수 없어길을 걷다 잠시 스친 너의 손등은왠지 너무 차갑기만 했어알 수 없는 너의 마음을 잡고 싶어서오늘도 나는 생각에 빠져볼 수 없는 너의 마음을 확인하려는 게바보 같단 걸 알고 있지만사랑해 나는 솔직하지 못해서이 말이 어려운가 봐미안해 상처보다 기다림이 좋은 난너에게 내 맘 말할 수 없어알 수 없는 너의 마음을 잡고 싶어서오늘도 나는 생각에 빠져볼 수 없는 너의 마음을 확인하려는 게바보 같단 걸 알고 있지만사랑해 나는 솔직하지 못해서이 말이 어려운가 봐미안해 상처보다 기다림이 좋은 난너에게 내 맘 말할 수 없어아무렇지 않은 척 고갤 돌려봐도점점 커지는 내 맘을 견딜 수 없어언젠가 너도 내 맘 알 수 있을까이렇게 오늘도 너를 그리고 있어아마 난 힘들겠지만미안해 상처보다 기다림이 좋은 난너에게 내 맘 말할 수 없어
20,별이 되어줄게 (Prod. 훈지),우기 (Woogie),때론 힘들겠지 때론 아프겠지 가끔길을 걷다 마음이 아파올때널 향한 미움과 차가운 말들에 가끔울다지쳐 혼자라 느껴질때수줍게 건넨 나의 손에살며시 너의 손을 올려내게 기대 언제나 너의 곁에 있을게슬프지 않고 살아가길아프지않고 살아가길내가 너의 위로가 되줄게때론 지치겠지눈물도 흐르겠지 걸어 왔던그 길이 보이지 않을때괜찮아 지나갈거야지금 보이지 않아도밤하늘 저 별처럼 언젠간 빛날거야지금은 보이지 않아도언젠간 밝게 빛날거야눈물 날때 괜찮아 내가 꼭 안아줄게언제나 너의 곁에 있을게힘들때 내 어깨에 기대내가 너의 별이 되어줄게내 품속에 안겨미소 지을수 있게별이 되어줄게
21,고양이는액체야,뉴로맨틱스,낯선 곳과 안 맞는 것도쉽게 친해질수 없다는 점도가끔 혼자있기 좀 그렇고그게 나야 전부유대관계 굳은 신뢰중요해 서두르지 않는게잡으려고 애쓴다면 도망갈래난 Suffocating사실 좋아하는 사람에게는자주 애교부리는 편따뜻한 햇살 오전 혹은 오후녹아내리는걸 보면고양이는 액체야싫어하는 행동이 있어잘해주기 보다 훨씬 나은건싫어하지 않게 배려해줘그게 훨씬 나아부담스럽게 자꾸만 다가오지마싫어해 오지랖 많은 스타일사실 좋아하는 사람에게는자주 애교부리는 편따뜻한 햇살 오전 혹은 오후녹아내리는걸 보면고양이는 액체야고양이는 액체야
22,여름 장미,Yoonsy Veronica Kil,몰랐었죠단 한 순간 사랑에 빠지리란 사실정신을 잃을 것만 같아그대와 함께 있으면알았어요언제인가 당신과 나이 순간을 함께 우리 둘이 함께보내게 되리란 확신을그대 내게 주었어요사랑이란 사랑이란 건갑작스럽게 눈치챌 수 없게문득 알아채면여기 눈앞에 그대가 있어고갤 돌릴 수 없죠조금만 빨리 나 만났더라면당신과 당신을 이렇게 꿈꿔요꿈에서라도 그댈 마주 바라볼 때마다바라볼 때면그대 눈길 스쳐 설레어 와가슴이 떨려 오는 걸어쩔 수 없는 걸요사랑을들어줘요 말해봐요사랑해요 사랑해요영원토록 우리 두 사람둘이 이렇게 나 부디 이 노래가계속되기를 계속 이어지길여기 핀 저 장미꽃들과 함께들어줘요 노래해요사랑해요 사랑해요지켜줄게요 저 먼 미래에서 만나도이 아름다운 감정 변치 않기를분명 그댄 아마 내 모든 삶에가장 아름다운 사람
23,우연이 아닌것만 같아서,김나영,Close your eyes and feel my dreamClose your eyes and touch my soul길었던 하루가 가고다시 찾은 이 밤어김없이 널 헤아리는 나너의 기억 너의 숨결은 어느새하나둘씩 마음을 채운 생각에혼란스러운 것 같아나도 모르는 사이커져 버린 거야 넌 그렇게All about you all about you my love말하지 않아도 느끼고 싶어 져조금은 더 네게 다가가고 싶어 지는그런 마음이야그러고 싶을 뿐이야창밖으로 흘러내리는 빗소리밤새도록 우릴 채우는 이야기너무 눈부신 것 같아왠지 우리 만남은우연이 아닌 것만 같아서All about you all about you my love말하지 않아도 느끼고 싶어 져조금은 더 네게 다가 설수 있다면그런 마음이야그러고 싶을 뿐이야언젠가는 멀어져도이 순간은 그런 생각 않고 싶어 져요또다시 깨어날 꿈도네가 곁에 있다면나 두렵지 않아 슬퍼하지 않아You are my all
24,꽃이 예뻐봤자 뭐해,신용재 (2F),니가 지나간 계절다시 또 그 계절이 왔어겁이 나서 아무 말도 못했던바보같이 굴었던 날 용서해줄래긴겨울이 끝날 때 아픔도끝날거라 생각했던내가 바보 같아꽃이 예뻐봤자 뭐해니가 옆에 없잖아날이 좋아봤자 뭐해널 좋아할 수가 없잖아내가 아파봤자 뭐해니가 알수가 없잖아곁에 없는 너는 뭐해나는 네 생각 하는데너를 볼 수 있을까다시 또 이 거리에 서서한번이라도 널 마주칠까봐기대하는 내가 싫어스쳐가는 사람들그 속에 널 찾아 헤메고 있는내가 바보같아꽃이 예뻐봤자 뭐해니가 옆에 없잖아날이 좋아봤자 뭐해널 좋아할 수가 없잖아내가 아파봤자 뭐해니가 알수가 없잖아곁에 없는 너는 뭐해나는 네 생각 하는데돌아온다는 건 다시 만난다는 건영화에서나 나오는 일이잖아꽃이 예뻐봤자 뭐해니가 옆에 없잖아날이 좋아봤자 뭐해널 좋아할 수가 없잖아내가 아파봤자 뭐해니가 알수가 없잖아곁에 없는 너는 뭐해나는 네 생각 하는데
25,그네,서기,한 숨을 쉬는너의 하루를내가 전부 알 순 없지만오늘은 천천히 낮게 움직이며너를 안아줄거야긴 하루에 지쳐있을 때무거웠던 짐을 내려놓고맘 편히 내게 기대내가 너의 넓은 그늘이 돼줄게혼자만의 고민이 있을 때도누구에게 마음을 전할 때도언제나 네가 편히 쉴 수 있게내 자릴 비워둘게살랑이는 바람결을 따라시원한 밤공기를 맡아봐답답한 마음이 하늘 위로다 날아갈때까지늘 작은 다리로달려왔던 넌 어느새어른이 됐고너를 기다리는 날더 이상 찾지 않고 지나가는 너지만혼자 맘 껏 울고 싶을 때친구와 오래 얘기 할 때도내가 필요 할 때면언제나 널 기다리는 내게 오면 돼혼자만의 고민이 있을 때도누구에게 마음을 전할 때도언제나 네가 편히 쉴 수 있게내 자릴 비워둘게살랑이는 바람결을 따라시원한 밤공기를 맡아봐답답한 마음이 하늘 위로다 날아갈 때 까지앞으로 올 힘든 순간들이너를 주저앉게 만들어도포기하지 말고 천천히 일어나 다시나아가면 돼쉴 틈 없이 살아온 너에게작게나마 위로가 됐으면 해답답한 마음이하늘위로 다 날아갈 때 까지
