,title,artist,lyrics
10,우리의 시간,병훈,우리 함께한 수많은 시간이영원할 것만 같았지만애써 참아온 눈물도 작별은결코 막을 수가 없지철없던 우리에 지나간 시간들이제와 생각해 보네되돌아 갈 순 없지만그날이 그리워우리 함께한 시련도니가 있기에 빛났네이젠 각자에 무게를홀로 견디지만영원할 것만 같던 젊음도뜨거운 그 사랑도한 순간에 불꽃놀이 처럼모두 사그라져가지 Yeah더는 돌릴 수 없는 걸흘러가 버려진 시간들언젠가 다시 만나면기쁨에 눈물 짓겠지만스쳐간 많은 인연들다 부질없는 걸 알지만철없던 우리에 그날을난 잊을 수 없는 걸우리 함께 했었던 시련도철없던 그 사랑도한모금의 연기인 것처럼모두가 사라져가지더는 돌릴 수 없는 걸흘러가 버려진 시간들언젠가 다시 만나면기쁨에 눈물 짓겠지만스쳐간 많은 인연들다 부질없는 걸 알지만철없던 우리에 그날을난 잊을 수 없는 걸흘러간 기억 너머로나 다시 갈 수 있을까철없던 우리에 그날을한 순간도 잊을 수 없어
11,Scent,박채연,길을 걷다 우연히 코 끝에스쳐간 그 향기 너무 익숙한 느낌아닌 걸 알면서도 자꾸 돌아보게 돼내가 그려왔던 순간이길 바라어제 일처럼 너무 선명하게 떠올라그때의 시간들이 자꾸 생각나넌 날 지웠을 텐데 나에겐깊게 배어 아직 잊지 못했나 봐I remember the scent손에 잡히지 않는 향기에 난또 그때의 우리를 떠올려너와 내가 만들던 그 시간의 추억시간 지나 무뎌진 줄 알았는데스쳐 지나간 향기에 다시 떠오르곤 해아직 잊어가는 중이라면조금만 더 천천히 잊어가길I remember the scent손에 잡히지 않는 향기에 난또 그때의 우리를 떠올려너와 내가 만들던 그 시간의 추억나는 너에게서 far away시간이 지나면너의 향기는 잊혀지겠지하지만 우리의 그때는 영원할 거야I remember the scent손에 잡히지 않는 향기에 난또 그때의 우리를 떠올려너와 내가 만들던 그 시간의 추억
12,Flowers,16,Emotions so outrageousInside & out so complicatedI’ve been thinkingbout you latelyWhat you doing laterWe should get togetherI brought you some flowersTake it show your mother cuzLike I said baby you so gnarlyTell me what you wantyou can be my pilotLeft or right you decide itI can be anything you wantedOh oh ohTell me where to go o oIf love was a racingThen I would take itAnd I would embrace itJust because you’re here with meMeet me at the downstairs laterBaby cuz I brought you flowersDancing and the music gets louderIf anyone ever try to take yaBaby I might lose my temperNeed you now and maybe foreverYou lookin so damn prettyI like it when you don’twear make upSo I can kiss you on your cheeksCan’t waitfor your strawberry red lipsOh oh ohWhat have we doneGone too farCan’t take it back nowand I won’tMeet me at the downstairs laterBaby cuz I brought you flowersDancing and the music gets louderIf anyone ever try to take yaBaby I might lose my temperNeed you now and maybe foreverI just can’t seeWhat I believeWithout youCall me every day and nightEvery timeWhen you had bad dreamsit’s alrightCuz you know I’m right herelooking at youThe way you sleep is mesmerizingMeet me at the downstairs laterBaby cuz I brought you flowersDancing and the music gets louderIf anyone ever try to take yaBaby I might lose my temperNeed you now and maybe forever
13,"Fall in you (Feat. 홍민지, 안도혁)",상준,하루 종일 떠올라이런 적은 없었는데왜 갑자기 니가 나타난걸까몰랐던 너의 변화들이젠 내가 제일 먼저 찾는 것 같아이게 좋아진 걸까 아니 나빠진 걸까 아니누굴 좋아하는 것은 하지 못할 짓이다다짐하고서 널 보았는데알 수 없는 두근거림 너 때문일까Baby I fall in you네 게 빠져버린 내 모습 보이니Maybe I’m loving you너를 바라보는 눈이 달라졌어Baby I fall in to you너를 안고 싶어 내 품에 가득히이젠 당당히 네 곁에 있고 싶어확실하지 않아 설마 나 내가 그럴 리가내가 혼자 잘못 착각하는가 싶어당연하단듯이 너 랑 나이런 깊은 생각 할 필요 없었는데이게 좋아진 걸까 아니 나빠진 걸까 아니누굴 좋아하는 것은 하지 못할 짓이다다짐하고서 널 보았는데알 수 없는 두근거림 너 때문일까Baby I fall in you네 게 빠져버린 내 모습 보이니Maybe I’m loving you너를 바라보는 눈이 달라졌어Baby I fall in to you너를 안고 싶어 내 품에 가득히이젠 당당히 네 곁에 있고 싶어단지 네 입술이 탐나 보여 그런 게 아냐외로운 나머지 네게 잘한 것 아닌 거 맞아없으면 떠오르고 누우면 생각나고방금까지 같이 있었는데 또 보고싶고단지 네 입술이 탐나 보여 그런 게 아냐외로운 나머지 네게 잘한 것 아닌 거 맞아없으면 떠오르고 누우면 생각나고방금까지 같이 있었는데 또 보고싶고Fall in you네게 빠져버린 내 모습 보이니Maybe I’m loving you너를 바라보는 눈이 달라졌어Baby I fall in to you너를 안고 싶어 내 품에 가득히이젠 당당히 네 곁에 있고 싶어Baby I fall in you네 게 빠져버린 내 모습 보이니Maybe I’m loving you너를 바라보는 눈이 달라졌어Baby I fall in to you너를 안고 싶어 내 품에 가득히이젠 당당히 네 곁에 있고 싶어이젠 당당히 네 곁에
14,허공,MIN,머리가 텅 비어 마음은 붕 떠시간은 가고 헛헛해난 아른거려 아무도 없어 보여애가 타고 텁텁해지우지 못했던 기억 하나 둘 셋 넷차마 다 묻지 못하고 밤을 샜네새벽의 빛은 다시 밝아오는데난 어디에 넌 어디에흐르던 공기 또한 멈추어 있네난 새벽에 머물러 있네작은 방 안의 난 차마 잠에 들 수 없어요아까 살아가다 잠깐 힘들었어서요나만 이런가요 그도 그런 게요아무도 없는 이 공간에 나만 존재해요이상한 소리가 들려요잔인한 떨림을 느껴요허공을 응시하는 시선이 흐릿해져 가요나만 이런가요 그도 그런 게요아무도 없는 이 공간에 나만 존재해요치우지 못했던 기억의 잔재들차마 다 묻지 않았어 난 그랬네새벽의 빛은 다시 밝아오는데난 어디에 넌 어디에흐르던 공기 또한 멈추어 있네난 새벽에 머물러 있네
15,내겐 없어,Rogers,하나둘씩 매번 나를 떠나고결국 다시 외로움으로텅 빈 방 안에 문득 나 혼자어둠 속 작은 빛줄기마저어두운 요즘 따라 피폐한 내 모습더 나쁠 수 있을까끝없이 진실만을 줬던 내 감정은짧게 끝나 사라져아무도 내겐 없어 힘이 들어지친 날 위로해 줄힘겨운 하루마다 눈을 감고 널하늘에 그려봐이젠 넌 떠나 텅 빈 가로등 밑결국 불은 꺼지고사라져 가는 너의 모습은이젠 눈물 속에 가려져어두운 요즘 따라 피폐한 내 모습더 나쁠 수 있을까끝없이 진실만을 줬던 내 감정은새하얗게 사라져아무도 내겐 없어 힘이 들어지친 날 위로해 줄힘겨운 하루마다 눈을 감고 널하늘에 그려봐Woo아무도 내겐 없어 힘이 들어지친 날 위로해 줄힘겨운 하루마다 눈을 감고 널하늘에 그려봐
16,오뚝이,이숭,가벼운 주머니 텅 빈 지갑외면하고 있는 현실은매일 밤 다시 찾아와괴롭히며 날 무너뜨려그래도 쓰러지지 않아결국 다시 일어나는 걸나는 지치지 않아그래도 쓰러지지 않아결국 다시 일어나는 걸나는 포기하지 않아무거운 머리와 깊은 한숨약해지고 있는 다짐은매일 밤 다시 찾아와지쳐가는 날 무너뜨려그래도 쓰러지지 않아결국 다시 일어나는 걸나는 지치지 않아그래도 쓰러지지 않아결국 다시 일어나는 걸나는 포기하지 않아매일 밤 다시 찾아와괴롭히며 날 무너뜨려
17,32,김상아,검푸른 하늘에 맑은 Moonlight마치 더 밝아 보이려 애써그렇게 내 안의 어두운 마음에환한 빛을 비춰아픈 모습보단행복만 보이려 한 것 같아No more hide my feelings내가 느끼는 대로멍하니 웃어보기도 하고슬픔을 감추기도 했어이제는 숨지 않고 애쓰지 않고흐르는 대로 그냥 그렇게겨울나무 위에 쌓인 흰 눈따스한 봄바람을 기다려그렇게 얼어있는나의 감정에 온기를 불어와내 안의 차가운 마음을녹이려 했던 걸까No more hide my feelings내가 느끼는 대로멍하니 웃어 보기도 하고슬픔을 감추기도 했어이제는 숨지 않고 애쓰지 않고흐르는 대로 그냥 그렇게지금의 내 모습대로내 안에 나를 바라봐억지로 누르려 하지 않고아프면 아픈 대로 흘려나에게 솔직하게 자연스럽게맘 가는 대로 그냥 그렇게멍하니 웃어보기도 하고슬픔을 감추기도 했어이제는 숨지 않고 애쓰지 않고흐르는 대로 그냥 그렇게
18,The way you loved me (Feat. Berry),Chel,I still remember the wayyou loved meand I'm still crying with youin my heartI know my sinscan't be washed awaythat being saidCan I be over the moon오늘 네게서 걸려온 전활 받아 난결국 우리 사이가 끝나가넌 내 잘못을 말해줘 난 받아들여결국 우리 사이는 끝이 나얼마나 아팠을까 넌 나로 인해얼마나 흘렸을까 너의 눈물을난 미안하다고만 할 수 있었어그리고 무너져where are you my love너는 결국 어디에without you my love여전히 너를 그려I still remember the wayyou loved meand I'm still crying with youin my heartI know my sinscan't be washed awaythat being saidCan I be over the moonI still remember the wayyou loved meand I'm still crying with youin my heartI know my sinscan't be washed awaythat being saidCan I be over the moonI can’t forget you forever다 지나가Always I really hurt you다 멈춰진 순간그때의 널 원해I’ll do everything all I can do다시 돌아와줘 내게You broken in my heartwhere are you my love너는 결국 어디에without you my love여전히 너를 그려I still remember the wayyou loved meand I'm still crying with youin my heartI know my sinscan't be washed awaythat being saidCan I be over the moonI still remember the wayyou loved meand I'm still crying with youin my heartI know my sinscan't be washed awaythat being saidCan I be over the moon
19,ALIEN,Salt,나를 이상하게 본 것 같애어쩌면 보지도 않은 것 같애다들 나랑 있음 불편하대이유는 나도 알 것 같애내가 뭐라 하는지 잘 모르겠다고왜 웃는 건지 모르겠다고넌 알았으면 좋겠어 Baby Yeah내 눈길은 전부내 관심은 전부다 네게 가있어I love you like an idiotI want you to knowBut you see me like I'm alienYes I am내가 봐도 이상한 것 같애친구 하나 없잖아 내 곁에다른 별에서 나 온 것 같애다른 별에서 나 온 것 같애나도 왜 이러는지 잘 모르겠다고내가 이유를 알 것 같냐고좀 알려줬음 좋겠어 Baby아냐 차라리 돌아갈래네가 없는 곳으로I love you like an idiotI want you to knowBut you see me like I'm alienYes I amI just wanna go backI just wanna go backI just wannaI just wanna go backI just wanna go backI just wanna go backI just wannaI just wanna go backI just wanna go backI just wanna go backI just wannaI just wanna go back
