,title,artist,lyrics
10,섬아,밴드기린 (Bandgirin),아픈 어제의 기억내 발걸음 멈춘 바다 위로부서지는 파도를 따라 흩어지네끊임없이 밀려드는 파도를 밀어내고이게 마지막이라며 반짝이던 너에게꼭 한 번쯤 하고픈 말그 자리에 있어줘서고마워 따스한 나만의 섬아길고 긴 날들을 품어준 섬아끝나지 않을 것 같던 힘들었던하루도 밤이 되어불어오는 바람에흘러가는 구름 따라 사라지네고마워 따스한 나만의 섬아길고 긴 날들을 품어준 섬아끝나지 않을 것 같던힘들었던 하루도 밤이 되어불어오는 바람에흘러가는 구름 따라 사라지네
11,Dancing in my closet (Feat. 이고도),정바스,Can I close to youJust moving onPlay a love songand just moving onmoving onWatching the breathWatching the breath’til the cup is filledwith the light of dawnOh Watching the breath’cause trees are stick aroundUmmJust I’ll stick with youGet closerCome with meGet closerCome with meCan I dress youto make your feeling goodI’m gonna dance for youto your feeling goodyour feeling goodWatching the breathWatching the breath’til the cup is filledwith the light of dawnOh Watching the breath’cause trees are stick aroundUmmJust I’ll stick with youGet closerCome with meGet closerCome with meGet closerCome with meGet closerCome with me
12,내일이 무사하기를,Adios Audio,날 속였다 무료한 시간에 기대 버려둔못내 못 이룬 꿈보다더 없이 두려운 건 바로혼자라는 외로움이 커져가혼자라는 외로움이별을 품은 개인 하늘위를 덮은 어둠 속에서그저 작은 바램아 나의 지금 바램아무력해진 소음 속 그 안에 고요 한 마디버틸 수가 있기를 내일이 무사하기를혼자라는 외로움이 커져가혼자라는 외로움이별을 품은 개인 하늘위를 덮은 어둠 속에서그저 작은 바램아 나의 지금 바램아혼자라는혼자라는 외로움이 커져가혼자라는 외로움이무뎌지지 않을꺼야몰아치는 어둠 속에서내일도 무사하길버텨낸다 또 하루나약한 날 위해서
13,"물, 햇빛, 그리고 사랑",소소한 프로젝트,그 언젠가 날 좋아하는 소년이주었던 사랑을 기억해요다가가기 어렵고 마음 졸이던손 내밀지 못했던 어느날내 마음은 네 손을 잡은 날 부터조금씩 온도가 높아졌어요언제나 따뜻했던 그 소년은매일 내게 사랑사랑을 심었죠사랑을 주었죠햇빛을 주었죠 봄이 왔어요그때보다 조금 많이 커져있고그날보다 더 무르익어 갔어요내 사랑이 꽃을 피우는 날부터그대에게서사랑이 보여요사랑을 받았죠햇빛을 받았죠 봄이 왔어요꽃처럼 매일매일이 사랑인것 같아요그대는 피어나는 꽃같아나의 맘에 맘에 들어온네 이름이 궁금해내게로 물을 줘요내 손을 놓지 마요따뜻한 햇살 그보다 더 눈부신 네 손길눈길도 받을래요마르지 않게 물을 주세요지금보다 더사랑을 할게요사랑을 주세요따뜻해주세요영원 영원히영원 영원히
14,점,전동욱,구름사이 저 멀리 둥근 달그날 밤을 나는 기억해더 없이 예뻐보이던 너를가슴에 품고 말았어그날 밤 너와 나마치 연인같던 순간의문이 드는 순간그러나 정말꾹꾹 눌렀던 내 맘더 이상 숨길 수 없어널 가지고 싶어오늘 밤에 맥주 한 잔짧게 어떠니너무 길진 않을꺼니두잔 어떠니너와 함께 하고 싶어내 목에 점처럼이젠 빼도 박도 못하는너 그런 여자야동이 트고 햇살이 비칠 때아이 같던 널 기억해내 옆에 있던 널 보았을 때결심을 하고 말았어그날 밤 너와 나잠들지 않던 순간긴장이 되는 순간그러나 정말꾹꾹 눌렀던 내 맘더 이상 숨길 수 없어널 가지고 싶어오늘 밤에 맥주 한 잔짧게 어떠니너무 길진 않을꺼니두잔 어떠니너와 함께 하고 싶어내 목에 점처럼이젠 빼도 박도 못하는너 그런 여자야
15,노르웨이숲,새라,나는 좀 느린 게 좋아살랑살랑 사뿐사뿐내 꼬리도 발걸음 따라 흔들난 느린 게 좋아 천천히나를 바라볼 때그대의 눈빛이 반짝 반짝그 속이 궁금해 난 자꾸 바라보게 돼내가 좀 무신경해 보인다고생각하지 무슨 말을 해도그저 헤헤헤헤눈치도 없고 오 둔해 빠져서그렇게 대해도 되는 줄 아나보지내가 좀 둔해 보인다고생각할지도 몰라하지만 맛있는 냄샐 맡으면난 가뿐히 너의 식탁 위로뛰어오를 수도 있어 야옹나를 바라볼 때그대의 눈빛이 반짝 반짝그 속이 궁금해 난 자꾸 바라보게 돼내가 좀 무신경해보인다고 생각하지무슨 말을 해도 그저 헤헤헤헤눈치도 없고 오 둔해 빠져서그렇게 대해도 되는 줄 아나보지내가 좀 둔해 보인다고생각할지도 몰라하지만 맛있는 냄샐 맡으면난 가뿐히 너의 식탁 위로뛰어오를 수도 있어 야옹내가 좀 무신경해보인다고 생각하지무슨 말을 해도 그저 헤헤헤헤눈치도 없고 오 둔해 빠져서막 대해도 되는 줄 아나보지내가 좀 둔해 보인다고생각할지도 몰라하지만 맛있는 냄샐 맡으면난 가뿐히 너의 식탁 위로뛰어오를 수도 있어 야옹나는 좀 느린 게 좋아오 난 느린 게 좋아오 느린 게 좋아
16,Flowers,16,Emotions so outrageousInside & out so complicatedI’ve been thinkingbout you latelyWhat you doing laterWe should get togetherI brought you some flowersTake it show your mother cuzLike I said baby you so gnarlyTell me what you wantyou can be my pilotLeft or right you decide itI can be anything you wantedOh oh ohTell me where to go o oIf love was a racingThen I would take itAnd I would embrace itJust because you’re here with meMeet me at the downstairs laterBaby cuz I brought you flowersDancing and the music gets louderIf anyone ever try to take yaBaby I might lose my temperNeed you now and maybe foreverYou lookin so damn prettyI like it when you don’twear make upSo I can kiss you on your cheeksCan’t waitfor your strawberry red lipsOh oh ohWhat have we doneGone too farCan’t take it back nowand I won’tMeet me at the downstairs laterBaby cuz I brought you flowersDancing and the music gets louderIf anyone ever try to take yaBaby I might lose my temperNeed you now and maybe foreverI just can’t seeWhat I believeWithout youCall me every day and nightEvery timeWhen you had bad dreamsit’s alrightCuz you know I’m right herelooking at youThe way you sleep is mesmerizingMeet me at the downstairs laterBaby cuz I brought you flowersDancing and the music gets louderIf anyone ever try to take yaBaby I might lose my temperNeed you now and maybe forever
17,오늘의 너에게 (with 희대),제디 (jeddy),그 어느 때보다 떨려요마치 그댈 처음 만날 때처럼내 모든 세상이너 하나로 물들었던 날흐르던 시간이 멈추고세상엔 우리 둘만 남고그저 바라보기만 했죠늘 네 곁에 있어줄게언제나 너의 손을 잡아줄 수 있게초라한 나의 마음가득하게 채워준 너소중한 내 사람흐르던 시간이 멈추고세상엔 우리 둘만 남고비어있던 내 삶에 이토록 따뜻하게햇살처럼 눈부신 그대가늘 네 곁에 있어줄게언제나 너의 손을 잡아줄 수 있게초라한 나의 마음가득하게 채워준 너내 모든 것이 돼준 너수많은 날 수많은 밤이우리의 많은 것을 바꿔놓아도여기 그대로 있을게 나내 마음 변함없이 너만을늘 오늘을 기억할게수많은 축복 속에 가장 빛나는 널세상 가장 아름다운 오늘의 너에게이 마음을 전할게사랑해
18,Spring,예은,봄이 오면 새싹도 활짝 피고반가운 꽃들도 피어나아이들 웃음소리 들려오네널 닮은 햇살이 내 눈 적시네봄이오면 가볍게 입고서널 두시에 만나벛꽃거릴 다니며너의 사진 찍어주고 싶어너와 매일 따뜻하게이쁜 너의 손 잡을꺼야너와 함께 있단게 좋아나의 머릿속에 기억해둘께나의 맘이 네게 들리도록바로 지금 이 순간 너를봄이 오면 새싹도 활짝 피고반가운 꽃들도 피어나아이들 웃음소리 들려오네널 닮은 햇살이 내 눈 적시네봄이오면 가볍게 입고서널 두시에 만나벛꽃거릴 다니며너의 사진 찍어주고 싶어너와 매일 따뜻하게이쁜 너의 손 잡을꺼야나의 맘이 들리도록매일 네에게 노래 할께이 시간부터 너와 나의 봄을시작해 봤으면해머릿속에 항상 담아둘께바로 지금 이 순간 너를
19,IF I,송길준,오늘도 난 친구와의 술잔을 한잔 기울이며 오고 가는 얘기들 난 항상 가질 수 없었던 너의 기분들을 이젠 가질 수 있어 차가운 새벽이 내 앞에서 걷혀지면 If I want you can you come to me I miss you If I love you can you love me 이제 난 너에게 빛이 돼주고 싶어 날 봐 진실한 너의 그 마음을 이젠 보여줘 오랜만에 난 그녀를 만났지 한잔 기울이며 나누던 그 추억들 난 항상 잡을 수 없었던 너의 그 두 손을 이젠 잡을 수 있어 침묵의 시간이 지나가면 지금 이 순간 If I want you can you come to me I miss you If I love you can you love me 이제 난 너에게 빛이 돼주고 싶어 날 봐 진실한 너의 그 마음을 이젠 보여줘 If I want you can you come to meI miss youIf I love you can you love me 이제난 너에게 빛이 되 주고 싶어 날 봐진실한 너의 그 마음을 이젠 보여줘
