,title,artist,lyrics
10,멈춰 (STOP),미니마니 (MINIMANI),하루만 더 딱 십분만 더오늘이 가면 또 못볼테니오 이제는 안녕잘 지내 굿바이다신 오지마금지된 신의 영역그 외로운 길 걷는다격렬한 반항을 해더 많은 용기 필요해꾸준히 유지해 넌 폭언을패배자 되긴 싫어 용기내물만 마셔도 숨만 쉬어도왜 괴롭히나그것이 미스테리야이야이야이야이야보지말자 또 보지말자오늘이 가면 다신 오지마오 이제는 안녕잘 지내 굿바이나를 찾지마하하하하 무야호우우우우 멈춰멈춰멈춰멈춰하하하하 무야호나를 찾지마걷는건 내맘인데왜 서지도 못하게 해억압적인 그 말투날 자꾸 작아지게 해불쾌한 농담 낄낄대는 너패배자 되긴 싫어 용기내물만 마셔도 숨만 쉬어도왜 괴롭히나그것이 미스테리야이야이야이야이야보지말자 또 보지말자오늘이 가면 다신 오지마오 이제는 안녕잘 지내 굿바이나를 찾지마하하하하 무야호우우우우 멈춰멈춰멈춰멈춰하하하하 무야호나를 찾지마니가 한 행동들은평생 나에게는 상처가 돼그만해 다신 나의근처에도 오지 말아보지말자 또 보지말자오늘이 가면 다신 오지마오 이제는 안녕잘 지내 굿바이나를 찾지마하하하하 무야호우우우우 멈춰멈춰멈춰멈춰하하하하 무야호나를 찾지마
11,Please Come Back To Me,김연경,please Come back to me말하지 말걸참아볼걸상처받기 싫어서했던 선택이더 큰 상처로 남아우연히 라도보고 싶어서같이 걷던 거릴매일 지나가네가 쓰던 향수 냄새를찾아 걸어가남 보다 못한 사이가 돼버렸어넘볼 수 없는 사람이 돼버렸어하루 종일 네 사진만 쳐다봐please Come back to meplease Come back to me지금 이 노래를 듣고 있다면다시 내게 기회를 줄 수 있다면please Come back to meplease Come back to me널 다시 볼 수만 있다면내 모든 걸 버리고 네게 갈 텐데please Come back to me시간이 지날수록네 기억에서내가 사라질까 봐숨이 막혀와내 목을 조여와보고 싶은 마음에꿈에서라도 널 만나남 보다 못한 사이가 돼버렸어넘 볼 수 없는 사람이 돼버렸어하루 종일 네 사진만 쳐다봐please Come back to meplease Come back to me지금 이 노래를 듣고 있다면다시 내게 기회를 줄 수 있다면please Come back to meplease Come back to me널 다시 볼 수만 있다면내 모든 걸 버리고 네게 갈 텐데please Come back to meplease Come back to meplease Come back to meah ahplease Come back to meplease Come back to me지금 이 노래를 듣고 있다면다시 내게 기회를 줄 수 있다면please Come back to meplease Come back to me널 다시 볼 수만 있다면내 모든걸 버리고 네게 갈텐데please Come back to me
12,너 말고 너,최선,아리아리 아리아리 아리아리오아침부터 저녁까지 멍때리게 해멍때리게 해다 너 때문이지만 기분은 좋아기분은 좋아시작없이 어쩌다가알콩달콩 그리됐는지끝도 없이 도돌이표네버엔딩 이리됐는지아리아리 아리아리 아리아리오저녁부터 새벽까지 잠못들게 해잠못들게 해다 너 때문이지만 기분은 좋아기분은 좋아시작없이 어쩌다가알콩달콩 그리됐는지끝도 없이 도돌이표네버엔딩 이리됐는지이게 다 너 때문이지만너라고 다 너는 아냐너말고 너말고 너 너말고 너말고 너오직 한사랑너말고 너말고 너너말고 너말고 너 너 말고 너너말고 너말고 너 너말고 너말고 너너 말고 너 너 너아리아리 아리아리 아리아리오저녁부터 새벽까지 잠못들게 해잠못들게 해다 너 때문이지만 기분은 좋아기분은 좋아시작없이 어쩌다가알콩달콩 그리됐는지끝도 없이 도돌이표네버엔딩 이리됐는지이게 다 너 때문이지만너라고 다 너는 아냐너말고 너말고 너 너말고 너말고 너오직 한사랑너말고 너말고 너너말고 너말고 너 너 말고 너너말고 너말고 너너말고 너말고 너 너 말고 너너 말고 너 너 너 너 말고 너 너 너너 말고 너 너 너
13,Sunflower(feat.손다예),김세아,오늘도 네 곁을 맴돌아항상 널 생각하는 난데너도 날 한 번 쯤 생각하면 좋겠어이건 내 욕심인걸까오늘은 네게 말할까너를 너무 좋아한다고네 맘도 나로 차올랐음 좋겠어언제쯤 그 날이 올까난 정말 정말 모르겠어네 맘을 내게 알려줄래좋아해 이 말 한 마디가입에서 자꾸만 맴돌아그렇게 바라보면 곤란해또 나만 설레이게 만들어그렇게 안아주면 어떡해너만 바라보는 난 Sunflower오늘은 진짜 말할까네가 너무 보고싶다고네 맘도 날 바라봐주면 좋겠어언제쯤 그 날이 올까난 정말 정말 모르겠어네 맘을 내게 보여줄래사랑해 이 말 한 마디가입에서 자꾸만 맴돌아그렇게 바라보면 곤란해또 나만 설레이게 만들어그렇게 안아주면 어떡해너만 바라보는 난 Sunflower좋아한다고 말하기 무서워더 다가가지 못했어오늘도 날 비춰주는 너에게한 걸음 씩 다가가볼까해그렇게 바라보면 곤란해또 나만 설레이게 만들어그렇게 안아주면 어떡해너만 바라보는 난 Sunflower사실은 너를 정말 좋아해나 이제 용기 내 말해볼게나 지금 네가 너무 보고싶어나는 너만을 위한 Sunflower
14,GAMBLER,몬스타엑스,If you don’t know now you knowOk Deal오묘한 기류 끈적이는 눈빛 HuhOh yeah I like that모든 걸 베팅해내 맘을 빼앗은 너 HuhWhat you want SecretDon’t you reallywanna feel alive아침까지 flip that낯간지러운 불장난I want something deeperyou na mean hah강한 끌림이 와아직은 알 수 없어 너의 bluffingBut 다른 느낌이 와어둠에 감춰놓은my heart is beating nowSo sweet 한네 미소 속에 난 빠져들어너의 trick에 난 홀려널 밀어내려 해봐도널 잊어보려 해봐도흔들리는 이 맘 callin’ me nowZero zero lucky bangMy suit is black my suit is freshOpen my packlet me show you how I bangAll in 했다면 다 이기는 game일 벌리는 대로 판은 이미 raceWhat you dothey don’t know what you do널 손에 잡은 채 난 poker faceMe I’m a handsome sum of moneyI got a vesper martini hoo주머니엔 흘러 넘쳐나는c-note or dinero언제나 깔끔하게 바뀌는 나의 fitNice and sassy 날 따라오는 수식어All-time on season맛은 huh maximum무르익다 못해 떨어지네 뚝뚝Hot as °FSo sweet 한입맞춤 속에 더 빠져들어너의 trick에 난 홀려날 멈추려고 해봐도널 벗어나려 해봐도흔들리는 이 맘 callin’ me nowZero zero lucky bangMy suit is black my suit is freshOpen my packlet me show you how I bangAll in 했다면 다 이기는 game일 벌리는 대로 판은 이미 raceWhat you dothey don’t know what you do널 손에 잡은 채 난 poker faceDance hold upShe’s goneShe’s goneShe’s goneShe’s goneIt’s done yeah hoo강한 확신에 난이제야 알아냈어 너의 bluffing반한 순간에 날걸리게 만든 새빨간 lip 위에 trap내 심장을 걸어놓고한순간 다 뺏긴대도덫에 걸린 이 맘 killin’ me nowBaby baby awwShow me something girlyou wanna be likeMy suit is black my suit is freshOpen my packlet me show you how I bangYou don’t know how to take me yetCuz love is a gambleJust I wanna sayIf you don’t know now you knowDeal
15,We,유체리쉬 (Yucherish),오늘은 그냥 왠지슬픈 감정이 느껴지는 건지이따 뭐해 만나잔 너의 MessageWhy do i Feel so sad오늘은 널 피할 거야하루종일 바쁠 예정내 예감이 맞는다면너는 진짜 나쁜 쓰레기야You've Got Another girl우리 둘이 단둘이그려왔던 그림은 행복했는데우리 둘이 단둘이웃고있는 사진을 태워버릴래맑았던 하늘에 갑자기먹구름이 껴버렸어흐르는 내 눈물이비에 젖어 눈물범벅이 돼버렸어이미 나는 눈치챘어알면서도 모르는 척이런 내가 불쌍하다면아무 말도 말고 떠나가You're so bad boy우리 둘이 단둘이그려왔던 그림은 행복했는데우리 둘이 단둘이웃고 있는 사진을 태워버릴래시간이 흐르고 지나서언젠가 널 만나면비웃어줄 거야오늘은 좀 슬프지만그래 보내줄게우리 둘이 단둘이우리 둘이 단둘이우리 둘이 단둘이우리 둘이 단둘이
16,전곡리안의 외침 (2021 연천 구석기축제 공식 주제가),알피 더 크리에이터,아야아야오 아야아야오 대한민국 구석기 시대 만나러 가는 거야 한반도 최초 인류가 살았던 연천 전곡리 유적지 역사적 가치 대중의 조화 살아 숨 쉬는 전곡리 세계적인 유적지 동아시아 최초지 주먹도끼 구석기 발견 경기도 연천 전곡리 우리나라 넘어 세계 속 대표 구석기 축제 원시복 입고 다 같이 함께 모이자 연천에 연천 연천 연천군에 석기 석기 구석기시대 너도나도 전곡리안 될 수 있어 빨리 와봐 연천에 뭐가 있나 구석기 축제 연천에 뭐가 있지 구석기 축제 구석기 구석기 축제 문화관광 축제 다시 한 번 구석기 시대를 만나러 가는 거야 아야아야오 아야아야오 대한민국 구석기 시대 만나러 가는 거야 아야아야오 아야아야오 대한민국 연천으로 다 같이 가는 거야 아야아야오 아야아야오 연천에 뭐가 있나 구석기 축제 연천에 뭐가 있지 구석기 축제 구석기 구석기 축제 문화관광 축제 다시 한 번 구석기 시대를 만나러 가는 거야 아야아야오 아야아야오 대한민국 구석기 시대 만나러 가는 거야 아야아야오 아야아야오 대한민국 연천으로 다 같이 가는 거야 전곡 선사 박물관 에헤 에헤 에헤이 숭의전 당포성 호로고루 에헤 에헤 에헤이 임진강 주상절리로 에헤 에헤 에헤이 재인폭포로 떠나보자 연천에 뭐가 있나 구석기 축제연천에 뭐가 있지 구석기 축제구석기 구석기 축제 문화관광 축제다시 한 번 구석기 시대를만나러 가는 거야아야아야오 아야아야오대한민국 구석기 시대만나러 가는 거야아야아야오 아야아야오대한민국 연천으로다 같이 가는 거야
17,로티로리송 2,롯데월드,로티 로리 로리 로티 로리 로로티 로리 로리 로티 로리 로귀여워 널 만나면 마음이 말랑말랑룰룰룰 룰랄라로티 로리 로리 로로티 로리 로리 로티 로리 로로티 로리 로리 로티 로리 로용감해 널 만나면 심장이 심쿵심쿵로 로티 로리 로로티 로리 로로티 로리 로롤롤로 로티롤롤로 로리로티 로리 로로티 로리 로롤롤로 로티롤롤로 로리로티 로리 로리 로티 로리 로로티 로리 로리 로티 로리 로오늘은 너랑 나랑 신나게 놀아볼까룰룰룰 룰랄라로티 로리 로리 로로티 로리 로리 로티 로리 로로티 로리 로리 로티 로리 로오늘은 너랑 나랑 모험을 떠나볼까신비의 나라로환상의 나라로
18,I Wanna love,손석민,I Wanna loveI Wanna love YeahI Wanna loveI Wanna love Yeah아침에 일어나니 머리아파어제밤 진탕 술을 마시고매일밤 의미없는 시간들을방황하고 있어전 여친 생각 가끔 나지만그녀는 안되지새로운 만남 가지고 싶지만폐인처럼만 살아언제쯤 내게 가슴 깊이 느낄사랑이 찾아 오는 거야그때가 조금씩 오고는 있는지사랑할 준비는 다 됐어언제쯤 내게 내모든걸 걸어사랑할 수가 있는 거야나정도 쯤이면 괜찮은 놈인데자아도취가 아냐가볍게 만나는건 가끔하지맘에도 없는 만남 계속해그렇게 어정쩡한 관계들이너무도 많은 걸가벼운 관계 정리하고서진지한 만남을가지고 싶어 하지만그게 맘대로 안돼맘대로 안돼언제쯤 내게 가슴 깊이 느낄사랑이 찾아 오는 거야그때가 조금씩 오고는 있는지사랑할 준비는 다 됐어언제쯤 내게 내모든걸 걸어사랑할 수가 있는 거야나정도 쯤이면 괜찮은 놈인데자아도취가 아냐I Wanna loveI Wanna love YeahI Wanna loveI Wanna love Yeah사랑하던 기억이 가물가물해져감정이 말라 가는걸 느껴위기감 느껴 사랑하고파언제쯤 내게 가슴 깊이 느낄사랑이 찾아 오는 거야그때가 조금씩 오고는 있는지사랑할 준비는 다 됐어언제쯤 내게 내모든걸 걸어사랑할 수가 있는 거야나정도 쯤이면 괜찮은 놈인데자아도취가 아냐
19,1999,RUYA(루야),baby I've been waitingsince for you 1999baby I'm here to pick youfrom 19991999년부터 말했다고사랑한다고 이 순간을 기다려 왔다고middle finger up and down그건 참 쉬워감정대로 살기엔 좀 아까운걸그럼에도 다시 middle finger up처음 정했던 마음새로 태어난 날들을 기억해어느새 나이가 들어서 나아가고개를 들어 기지개를 켜면서너무 나약한 나 태어나서옷 한 벌 걸치지 않고그대로 가겠다고baby I've been waitingsince for you 1999baby I'm here to pick youfrom 19991999년부터 말했다고사랑한다고 이 순간을 기다려 왔다고진정한 사랑의 의미는 찾지 못했어너를 알기 전까지는 말이야세상에 여러 종류의 사랑 그중에진짜는 없다는 걸받아들이기 전까지는 말이야아니고 그게 아니고나를 버릴 만큼 널 사랑한다는각오와 믿음그곳이 지옥이든 어디든 따라갈게나쁘지 않잖아 투닥 거리는이런 관계어느새 나이가 들어서 나아가고개를 들어 기지개를 켜면서너무 나약한 나 태어나서옷 한 벌 걸치지 않고그대로 가겠다고baby I've been waitingsince for you 1999baby I'm here to pick youfrom 19991999년부터 말했다고사랑한다고 이 순간을 기다려 왔다고middle finger up and down그건 참 쉬워감정대로 살기엔 좀 아까운걸그럼에도 다시 middle finger up처음 정했던 마음새로 태어난 날들을 기억해baby I've been waitingsince for you 1999baby I'm here to pick youfrom 19991999년부터 말했다고사랑한다고 이 순간을 기다려 왔다고baby I've been waitingsince for you 1999baby I'm here to pick youfrom 19991999년부터 말했다고사랑한다고 이 순간을 기다려 왔다고
